,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
Coral,D Richard,G316,2010.29.1,109578,6/11/2014,6/25/2014,installed: disappeared,14-06-11_2010.29.1_CoralEDIT,
Bridge Redux,D Richard,G377,61.36.15,1413,6/11/2014,6/25/2014,deinstalled,14-06-11_61.36.15_Bridge2EDIT,
Fight Face,T Gihring,G360,L2013.114.1,18424,6/12/2014,6/26/2014,deinstalled,14-06-12_L2013.114.1_FightFaceEDIT,
Personal Paparazzi,T Gihring,G365,90.133.1,3937,6/12/2014,6/26/2014,deinstalled,14-06-12_90.133.1PersonalPaparazziEDIT,
Overfishing,Algeo,G309,82.84,3115,6/17/2014,7/1/2014,installed: missing,14-06-17_82.84_OverfishingEDIT,
Taxidermy,D Richard,G374,2008.79,106730,6/17/2014,7/1/2014,deinstalled,14-06-17_2008.79_TaxidermyEDIT,
Fakers,D Richard,G321,72.42.3,1978,6/18/2014,7/2/2014,deinstalled,14-06-18_73.42.3_FakersEDIT,
Gold Smuggling,TGihring,G211,92.132.1,4379,6/20/2014,7/4/2014,deinstalled,14-06-20_92.132.1_GoldSmugglingEDIT,mentions hiding things in the rectum
Dining Alone,TGihring,G373,2007.100,102644,6/20/2014,7/4/2014,deinstalled,14-06-20_2007.100_DiningAloneEDIT,OK
Holographic Chocolate,Roma,G260,97.92.6,5487,6/24/2014,7/8/2014,deinstalled,14-06-24_97.92.6_holographicchocEDIT,OK
Bananas,Roma,G311,87.4,3584,6/24/2014,7/8/2014,deinstalled,14-06-20_87A_UgandaBananaEDIT,OK
Dr. Oz,Katie Wildfong,G379,2002.134,62516,6/24/2014,7/8/2014,deinstalled,14-06-19_2002.134_DrOzEDIT,OK
Row your boat,D Richard,G357,75.7,2239,6/25/2014,7/9/2014,deinstalled,14-06-25_75.7_rowersEDIT,
Tiara,D Richard,G319,68.74.1,12138,6/25/2014,7/9/2014,deinstalled,14-06-25_68.74.1_tiaraEDIT,
Prison,Roma,G311,45.10,10450,6/25/2014,7/9/2014,deinstalled,14-06-25_45.10_prisonlaborEDIT,
